dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,zorder_ms,zorder_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,A_nearby,30,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND HouseAge >= 40,15.5792,2637.0,181.572,2637,125.0575,2637,161.4335,2637.0,10.36,5.82,PASS
california_real,A_nearby,31,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND HouseAge BETWEEN 20 AND 40,32.2271,10396.0,182.1347,10396,137.9007,10396,171.8292,10396.0,5.33,8.84,PASS
california_real,A_nearby,32,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND HouseAge <= 15,13.0523,429.0,179.0126,429,165.7473,429,177.7449,429.0,13.62,4.89,PASS
california_real,A_nearby,33,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveRooms BETWEEN 5.0 AND 8.0,14.049,7078.0,171.9713,7078,143.6291,7078,169.0215,7078.0,12.03,6.56,PASS
california_real,A_nearby,34,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveRooms >= 6.0 AND AveBedrms <= 1.5,5.9186,3390.0,167.5834,3390,132.105,3390,172.3456,3390.0,29.12,2.87,PASS
california_real,A_nearby,35,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND AveRooms >= 7.0,2.4473,1914.0,175.3126,1914,132.5201,1914,170.2006,1914.0,69.55,1.33,PASS
california_real,A_nearby,36,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND AveRooms BETWEEN 4.0 AND 7.0 AND AveBedrms BETWEEN 1.0 AND 1.8,31.4894,6054.0,174.9821,6054,132.15,6054,175.108,6054.0,5.56,10.7,PASS
california_real,A_nearby,37,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND AveRooms >= 6.0 AND AveBedrms BETWEEN 1.0 AND 2.0,7.8621,3677.0,176.7312,3677,165.2956,3677,176.7274,3677.0,22.48,2.87,PASS
california_real,A_nearby,38,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 2.5,14.5155,6722.0,172.3751,6722,147.1936,6722,181.6364,6722.0,12.51,6.18,PASS
california_real,A_nearby,39,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND AveOccup <= 3.0,30.0525,12201.0,170.9098,12201,136.0527,12201,162.1718,12201.0,5.4,8.68,PASS
california_real,A_nearby,40,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND AveOccup <= 2.0,6.0456,1493.0,170.1719,1493,129.5976,1493,166.3686,1493.0,27.52,2.23,PASS
california_real,A_nearby,41,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND Population BETWEEN 200 AND 2000,28.3997,12406.0,178.3218,12406,141.7453,12406,172.7611,12406.0,6.08,10.7,PASS
california_real,A_nearby,42,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND Population BETWEEN 500 AND 3000,32.1162,11779.0,196.961,11779,147.7394,11779,184.0843,11779.0,5.73,10.7,PASS
california_real,A_nearby,43,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0 AND MedHouseVal >= 3.0,5.725,2126.0,186.4223,2126,9.7489,2126,186.0692,2126.0,32.5,2.83,PASS
california_real,A_nearby,44,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 8.0 AND MedHouseVal >= 4.0,4.5003,830.0,179.6385,830,4.9551,830,185.7642,830.0,41.28,1.79,PASS
california_real,A_nearby,45,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0 AND MedHouseVal >= 4.0,2.7091,1180.0,172.9786,1180,6.3874,1180,163.6421,1180.0,60.4,1.79,PASS
california_real,A_nearby,46,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 7.0 AND HouseAge <= 30,6.7382,1195.0,165.6147,1195,126.7461,1195,161.7436,1195.0,24.0,3.38,PASS
california_real,A_nearby,47,SELECT COUNT(*) FROM data WHERE place = 'Cupertino' AND MedInc >= 8.0 AND AveRooms >= 5.0,7.0745,1811.0,162.1261,1811,133.7187,1811,167.2291,1811.0,23.64,3.38,PASS
california_real,A_nearby,48,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc BETWEEN 6.0 AND 10.0 AND MedHouseVal BETWEEN 3.0 AND 5.0,9.9887,3006.0,179.6016,3006,11.0521,3006,167.7821,3006.0,16.8,2.83,PASS
california_real,A_nearby,49,SELECT COUNT(*) FROM data WHERE place = 'Sunnyvale' AND MedInc >= 7.0 AND MedHouseVal >= 3.0 AND HouseAge <= 30,6.2541,1324.0,163.3403,1324,8.993,1324,168.4224,1324.0,26.93,2.83,PASS
california_real,A_nearby,50,SELECT COUNT(*) FROM data WHERE place = 'Palo Alto' AND MedInc >= 9.0 AND MedHouseVal >= 4.0 AND AveRooms >= 6.0,2.5618,1168.0,169.3816,1168,6.562,1168,160.5105,1168.0,62.65,1.24,PASS
california_real,A_nearby,51,SELECT COUNT(*) FROM data WHERE place = 'Mountain View' AND MedInc >= 6.0 AND AveRooms BETWEEN 5.0 AND 8.0 AND AveBedrms BETWEEN 1.0 AND 1.8,10.9449,2354.0,172.137,2354,141.5848,2354,163.5105,2354.0,14.94,3.38,PASS
